ÍTEM,Tipo,DIRECCIÓN DNP3,VARIABLE,PRUEBA RTU ORION LX+
1,Analoga,0,Corriente IA Dist.S2 S.PEDRO-L.VEGAS 1,
2,Analoga,1,Angulo IA Dist.S2 S.PEDRO-L.VEGAS 1,
3,Analoga,2,Corriente IB Dist.S2 S.PEDRO-L.VEGAS 1,
4,Analoga,3,Angulo IB Dist.S2 S.PEDRO-L.VEGAS 1,
5,Analoga,4,Corriente IC Dist.S2 S.PEDRO-L.VEGAS 1,
6,Analoga,5,Angulo IC Dist.S2 S.PEDRO-L.VEGAS 1,
7,Analoga,6,Corriente IN Dist.S2 S.PEDRO-L.VEGAS 1,
8,Analoga,7,Angulo IN Dist.S2 S.PEDRO-L.VEGAS 1,
9,Analoga,8,Voltaje VAN Dist.S2 S.PEDRO-L.VEGAS 1,
10,Analoga,9,Angulo VAN Dist.S2 S.PEDRO-L.VEGAS 1,
11,Analoga,10,Voltaje VBN Dist.S2 S.PEDRO-L.VEGAS 1,
12,Analoga,11,Angulo VBN Dist.S2 S.PEDRO-L.VEGAS 1,
13,Analoga,12,Voltaje VCN Dist.S2 S.PEDRO-L.VEGAS 1,
14,Analoga,13,Angulo VCN Dist.S2 S.PEDRO-L.VEGAS 1,
15,Analoga,14,Frecuencia Dist.S2 S.PEDRO-L.VEGAS 1,
16,Analoga,15,Pot.Activa Dist.S2 S.PEDRO-L.VEGAS 1,
17,Analoga,16,Pot.Reactiva Dist.S2 S.PEDRO-L.VEGAS 1,
18,Analoga,17,Pot.Aparente Dist.S2 S.PEDRO-L.VEGAS 1,
19,Analoga,18,Gr.Ajuste Act. Dist.S2 S.PEDRO-L.VEGAS 1,
20,Analoga,19,Codigo Falla Dist.S2 S.PEDRO-L.VEGAS 1,
21,Analoga,20,Fecha Falla Dist.S2 S.PEDRO-L.VEGAS 1,
22,Analoga,21,Durac.Falla Dist.S2 S.PEDRO-L.VEGAS 1,
23,Analoga,22,Tiempo Aper.Rele Dist.S2 S.PED-L.VEGAS 1,
24,Analoga,23,Dist.Falla Dist.S2 S.PEDRO-L.VEGAS 1,
25,Analoga,24,Corr.Falla IA Dist.S2 S.PEDRO-L.VEGAS 1,
26,Analoga,25,Corr.Falla IB Dist.S2 S.PEDRO-L.VEGAS 1,
27,Analoga,26,Corr.Falla IC Dist.S2 S.PEDRO-L.VEGAS 1,
28,Analoga,27,Corr.Falla IN Dist.S2 S.PEDRO-L.VEGAS 1,
29,Analoga,28,Volt.Falla VA Dist.S2 S.PEDRO-L.VEGAS 1,
30,Analoga,29,Volt.Falla VB Dist.S2 S.PEDRO-L.VEGAS 1,
31,Analoga,30,Volt.Falla VC Dist.S2 S.PEDRO-L.VEGAS 1,
32,Analoga,31,Tiempo Apert.Int.Dist.S2 S.PED-L.VEGAS 1,
1,Digital,0,Habilit.Rele Dist.S2 S.PEDRO-L.VEGAS 1,
2,Digital,1,Falla Int.Bater.Dist.S2 S.PED-L.VEGAS 1,
3,Digital,2,Falla Potencial.Dist.S2 S.PED-L.VEGAS 1,
4,Digital,3,Falla Comu.Eth 1 Dist.S2 S.PED-L.VEGAS 1,
